date,pagePath,deviceCategory,country,sessions,totalUsers,eventCount,engagementRate,averageSessionDuration
20260220,/posts/nursing-assistant-job-description-beginners,mobile,Japan,1,1,5,0.0,5.464065
20260220,/posts/nursing-assistant-latest-salary-comparison,desktop,Japan,1,1,7,1.0,75.29246
20260220,/posts/nursing-assistant-patient-transfer-safety,mobile,Japan,1,1,7,1.0,114.374428
20260221,/,mobile,Japan,1,1,3,0.0,0.932844
20260221,/categories/license,desktop,Iran,1,1,4,1.0,5.466584
20260221,/contact,desktop,Iran,1,1,5,1.0,0.007708
20260221,/posts,desktop,Iran,1,1,4,1.0,4.458798
20260221,/posts,desktop,Japan,1,1,5,0.0,4.197423
20260221,/posts/nursing-assistant-care-guide-compassa,desktop,Iran,1,1,1,1.0,0.148586
20260221,/posts/nursing-assistant-career-change-medical,mobile,Japan,1,1,6,0.0,5.902245
20260221,/posts/nursing-assistant-infection-control-manual,mobile,Japan,1,1,6,0.0,6.010221
20260221,/posts/nursing-assistant-job-change-steps,mobile,Japan,1,1,1,1.0,5.018635
20260221,/posts/nursing-assistant-nightshift-fatigue,desktop,Iran,1,1,4,1.0,8.479442
20260221,/posts/nursing-assistant-operating-room-duties,mobile,Japan,1,1,6,0.0,5.975999
20260221,/posts/nursing-assistant-salary-differences,desktop,United States,1,1,3,0.0,0.0
20260222,/,desktop,United States,1,1,3,0.0,0.0
20260222,/categories/stories,mobile,Japan,1,1,10,1.0,62.096767
20260222,/categories/work,desktop,Iran,1,1,4,1.0,4.767746
20260222,/categories/work,mobile,Japan,1,1,4,1.0,9027.816558
20260222,/contact,desktop,Iran,1,1,6,1.0,4.332338
20260222,/posts,desktop,Iran,1,1,4,1.0,2.699133
20260222,/posts/nursing-assistant-care-guide-compassa,desktop,Iran,1,1,4,1.0,1.477578
20260222,/posts/nursing-assistant-infection-control-handwashing,desktop,United States,1,1,4,0.0,0.851785
20260222,/posts/nursing-assistant-infection-control-manual,desktop,Iran,1,1,4,1.0,8.741004
20260222,/posts/nursing-assistant-market-info,desktop,Iran,1,1,4,1.0,4.936228
20260222,/posts/nursing-assistant-medical-terms,desktop,Japan,1,1,7,1.0,52.379043
20260222,/posts/nursing-assistant-mental-care-compass,mobile,Japan,1,1,2,1.0,6.830272
20260222,/posts/nursing-assistant-mental-care-focus,desktop,Iran,1,1,4,1.0,5.969647
20260222,/posts/nursing-assistant-night-shift-practical,mobile,Japan,1,1,2,1.0,318.557424
20260222,/posts/nursing-assistant-night-shift-recovery,desktop,Iran,1,1,4,1.0,5.982254
20260222,/posts/nursing-assistant-nightshift-fatigue,desktop,Iran,1,1,4,1.0,4.540903
20260222,/posts/nursing-assistant-operating-room-duties,mobile,Japan,1,1,7,1.0,322.470174
20260222,/posts/nursing-assistant-patient-safety-insights,mobile,Japan,1,1,1,1.0,5.00277
20260222,/posts/nursing-assistant-patient-transfer-safety,mobile,Japan,1,1,7,1.0,38.297082
20260222,/posts/nursing-assistant-practical-tips-insights,mobile,Japan,1,1,5,0.0,7.376491
20260222,/posts/nursing-assistant-resignation-advice-insights,mobile,Japan,1,1,7,1.0,99.14793
20260222,/posts/nursing-assistant-resignation-advice-support,mobile,Japan,1,1,5,1.0,411.644172
20260222,/posts/nursing-assistant-salary-differences,desktop,Germany,1,1,3,0.0,0.0
20260222,/posts/nursing-assistant-what-is-guide,desktop,United States,1,1,3,0.0,0.0
20260222,/posts/nursing-assistant-workplace-fit,mobile,Japan,1,1,1,1.0,5.015256
20260222,/sitemap,desktop,Iran,1,1,4,1.0,5.686176
20260222,/tags,desktop,Iran,1,1,4,1.0,5.265515
20260222,/tags/newcomer-notes,desktop,Iran,1,1,4,1.0,7.402169
20260223,/categories/salary,mobile,Japan,1,1,2,1.0,10.054805
20260223,/posts/nursing-assistant-deal-with-nurses,mobile,Japan,1,1,1,1.0,0.0
20260223,/posts/nursing-assistant-infection-control-manual,desktop,Japan,1,1,6,1.0,104.235604
20260223,/posts/nursing-assistant-night-shift-allowance,mobile,Japan,1,1,1,1.0,58.036066
20260223,/posts/nursing-assistant-night-shift-recovery,mobile,Japan,1,1,1,1.0,37.01412
20260223,/posts/nursing-assistant-salary-differences,desktop,United States,1,1,3,0.0,0.0
20260223,/posts/nursing-scholarship-interest-risk,mobile,Japan,1,1,12,1.0,134.722149
20260224,/,desktop,Japan,1,1,4,1.0,133.418822
20260224,/posts,desktop,Japan,1,1,6,1.0,6.526305
20260224,/posts/nursing-assistant-emr-system-changes,desktop,Japan,1,1,7,1.0,37.457437
20260224,/posts/nursing-assistant-infection-control-handwashing,desktop,United States,1,1,3,0.0,0.0
20260224,/posts/nursing-assistant-infection-control-manual,mobile,Japan,1,1,6,0.0,5.929548
20260224,/posts/nursing-assistant-latest-salary-comparison,desktop,Japan,1,1,7,1.0,15.184248
20260224,/posts/nursing-assistant-medical-terms,mobile,Japan,1,1,6,0.0,6.03108
20260224,/posts/nursing-assistant-operating-room-duties,mobile,Japan,1,1,4,0.0,0.56011
20260224,/posts/nursing-assistant-patient-transfer-safety,desktop,Japan,1,1,7,0.0,5.615853
